geometry,n,CV,L_m,sigma_rep,cv_real,logvar_real,logsd_real,l_star
point,1,2.0,500.0,0.48198363869912025,1.0906293702294476,1.0085647132423354,1.0042732263892806,0.5
point,2,0.5,100.0,0.060198954219882576,0.5152781959709859,0.22669835250289277,0.47612850419072034,0.1
point,2,0.5,250.0,0.07588960041404728,0.4727885116139039,0.20083240977956035,0.4481432915704087,0.25
point,2,0.5,500.0,0.10223387468277087,0.37363883087807154,0.13983435473166364,0.3739443203628899,0.5
point,2,1.0,100.0,0.10849454386542605,1.1135032030016303,0.7041894016184297,0.8391599380442502,0.1
point,2,1.0,250.0,0.1336099441601791,0.9519046662436574,0.6238424448472835,0.7898369735884003,0.25
point,2,1.0,500.0,0.18739278745978827,0.6773602647829667,0.43436517934392016,0.6590638659067269,0.5
point,2,2.0,100.0,0.18948640071059764,2.5266379240890484,1.635077155739752,1.2787013551802282,0.1
point,2,2.0,250.0,0.2139820243848866,1.8628305435628638,1.448517299474127,1.2035436425298947,0.25
point,2,2.0,500.0,0.291544754446668,1.0906293702294476,1.0085647132423354,1.0042732263892806,0.5
point,3,0.5,100.0,0.043447398733212586,0.5152781959709859,0.22669835250289277,0.47612850419072034,0.1
point,3,0.5,250.0,0.05846018533611892,0.4727885116139039,0.20083240977956035,0.4481432915704087,0.25
point,3,0.5,500.0,0.10983595357657205,0.37363883087807154,0.13983435473166364,0.3739443203628899,0.5
point,3,1.0,100.0,0.08100419424703954,1.1135032030016303,0.7041894016184297,0.8391599380442502,0.1
point,3,1.0,250.0,0.10430890722959113,0.9519046662436574,0.6238424448472835,0.7898369735884003,0.25
point,3,1.0,500.0,0.20206711915790565,0.6773602647829667,0.43436517934392016,0.6590638659067269,0.5
point,3,2.0,100.0,0.15456322533326713,2.5266379240890484,1.635077155739752,1.2787013551802282,0.1
point,3,2.0,250.0,0.17326611963302552,1.8628305435628638,1.448517299474127,1.2035436425298947,0.25
point,3,2.0,500.0,0.3165489287548554,1.0906293702294476,1.0085647132423354,1.0042732263892806,0.5
point,4,0.5,100.0,0.03624188754753008,0.5152781959709859,0.22669835250289277,0.47612850419072034,0.1
point,4,0.5,250.0,0.04829483955081182,0.4727885116139039,0.20083240977956035,0.4481432915704087,0.25
point,4,0.5,500.0,0.09587491922247113,0.37363883087807154,0.13983435473166364,0.3739443203628899,0.5
point,4,1.0,100.0,0.06677829072036649,1.1135032030016303,0.7041894016184297,0.8391599380442502,0.1
point,4,1.0,250.0,0.08232687442070487,0.9519046662436574,0.6238424448472835,0.7898369735884003,0.25
point,4,1.0,500.0,0.17621676226229074,0.6773602647829667,0.43436517934392016,0.6590638659067269,0.5
point,4,2.0,100.0,0.12946863394464786,2.5266379240890484,1.635077155739752,1.2787013551802282,0.1
point,4,2.0,250.0,0.13658950195948077,1.8628305435628638,1.448517299474127,1.2035436425298947,0.25
point,4,2.0,500.0,0.276294089584265,1.0906293702294476,1.0085647132423354,1.0042732263892806,0.5
